gene_symbol	ensp_id	proximity	sn_tpm
RPS3	9606.ENSP00000278572	1.0493179433368311	108.466
EPN2	9606.ENSP00000320543	1.0493179433368311	20.0667
UBE2J2	9606.ENSP00000383719	1.050420168067227	12.3794
STON2	9606.ENSP00000450857	1.050420168067227	10.8491
TOMM7	9606.ENSP00000351214	1.050420168067227	227.45
COPS6	9606.ENSP00000304102	1.050420168067227	83.403
HIP1R	9606.ENSP00000253083	1.050420168067227	89.3852
CDC34	9606.ENSP00000215574	1.050420168067227	46.4629
CAPN1	9606.ENSP00000431984	1.0515247108307044	27.1576
SYT11	9606.ENSP00000357307	1.0515247108307044	97.6143
SPTBN1	9606.ENSP00000349259	1.0515247108307044	107.199
CDK5R1	9606.ENSP00000318486	1.0526315789473684	11.8729
INPP4A	9606.ENSP00000074304	1.0526315789473684	5.32401
UBE2D1	9606.ENSP00000363019	1.0526315789473684	9.48287
KIF2A	9606.ENSP00000385000	1.0526315789473684	13.0252
BCL2L1	9606.ENSP00000302564	1.0526315789473684	55.7243
EIF3K	9606.ENSP00000248342	1.0526315789473684	81.8056
PMPCA	9606.ENSP00000360782	1.0526315789473684	18.7447
UBE2D3	9606.ENSP00000349722	1.053740779768177	48.4396
SPTBN2	9606.ENSP00000432568	1.053740779768177	9.98544
UBA1	9606.ENSP00000338413	1.053740779768177	42.0175
GALC	9606.ENSP00000261304	1.053740779768177	12.1239
AAK1	9606.ENSP00000386456	1.0548523206751055	4.07852
GLB1	9606.ENSP00000306920	1.0548523206751055	6.70525
RPS25	9606.ENSP00000435096	1.0548523206751055	733.088
USP9X	9606.ENSP00000316357	1.0548523206751055	10.9611
UBE2V1	9606.ENSP00000340305	1.0548523206751055	33.749
PLD1	9606.ENSP00000342793	1.0548523206751055	3.84533
UBE2E1	9606.ENSP00000303709	1.0548523206751055	45.9262
AP2A2	9606.ENSP00000327694	1.0548523206751055	18.9542
RPL5	9606.ENSP00000359345	1.0559662090813093	481.971
TRAF6	9606.ENSP00000433623	1.0559662090813093	2.52897
RNF19A	9606.ENSP00000428968	1.0559662090813093	14.6234
SRSF3	9606.ENSP00000362820	1.0559662090813093	35.7775
HNRNPL	9606.ENSP00000221419	1.0559662090813093	63.9917
VPS36	9606.ENSP00000367299	1.0559662090813093	9.64076
ARRB1	9606.ENSP00000409581	1.0559662090813093	20.8484
SNX12	9606.ENSP00000481314	1.0570824524312896	29.7357
SORL1	9606.ENSP00000260197	1.0570824524312896	25.4537
AP2B1	9606.ENSP00000482835	1.0570824524312896	56.5532
SACM1L	9606.ENSP00000373713	1.0570824524312896	14.8915
NECAP1	9606.ENSP00000341737	1.0570824524312896	21.7165
UBE3A	9606.ENSP00000232165	1.0570824524312896	6.3875
DIABLO	9606.ENSP00000398495	1.0570824524312896	8.32066
TRAF2	9606.ENSP00000247668	1.0570824524312896	5.48254
AP2M1	9606.ENSP00000292807	1.0582010582010581	143.072
UBE2A	9606.ENSP00000360613	1.0582010582010581	33.3986
UBE2I	9606.ENSP00000348056	1.0582010582010581	15.5407
RILP	9606.ENSP00000301336	1.0593220338983051	7.20256
ATP6V1F	9606.ENSP00000417378	1.0593220338983051	165.806
KIFAP3	9606.ENSP00000354560	1.0593220338983051	20.3542
DYNLL2	9606.ENSP00000477310	1.0593220338983051	91.6215
RPS19	9606.ENSP00000470972	1.0593220338983051	124.912
PPP3CA	9606.ENSP00000378323	1.0593220338983051	14.2626
SRC	9606.ENSP00000362680	1.0593220338983051	4.2679
NGFR	9606.ENSP00000172229	1.0593220338983051	5.22899
UGCG	9606.ENSP00000363397	1.0593220338983051	5.82928
ASB8	9606.ENSP00000320893	1.0593220338983051	11.615
ASAH1	9606.ENSP00000371152	1.0593220338983051	38.0405
SGIP1	9606.ENSP00000360076	1.0604453870625663	5.91677
PRDX2	9606.ENSP00000301522	1.0604453870625663	320.29
RPS15	9606.ENSP00000467466	1.0604453870625663	315.071
SPTB	9606.ENSP00000451752	1.0604453870625663	2.17184
UBE2G2	9606.ENSP00000338348	1.0615711252653928	26.1522
PRKCD	9606.ENSP00000378217	1.0615711252653928	7.36619
BRSK2	9606.ENSP00000371614	1.0615711252653928	15.2149
SMG1	9606.ENSP00000402515	1.0615711252653928	5.61274
SMG5	9606.ENSP00000355261	1.0615711252653928	40.3836
DNAH1	9606.ENSP00000401514	1.0615711252653928	2.84205
TRA2B	9606.ENSP00000416959	1.0615711252653928	26.1435
HIF1A	9606.ENSP00000437955	1.0626992561105206	26.609
RNF213	9606.ENSP00000464087	1.0626992561105206	6.79373
GOLGA2	9606.ENSP00000416097	1.0626992561105206	19.8027
BAD	9606.ENSP00000378040	1.0626992561105206	47.3222
GNS	9606.ENSP00000258145	1.0626992561105206	14.8722
FBXO17	9606.ENSP00000292852	1.0626992561105206	3.37859
RPL35	9606.ENSP00000259469	1.0626992561105206	504.928
ERH	9606.ENSP00000451080	1.0638297872340425	61.7104
RBCK1	9606.ENSP00000348632	1.0638297872340425	27.1817
TRAP1	9606.ENSP00000246957	1.0638297872340425	12.7543
CD68	9606.ENSP00000250092	1.0638297872340425	17.3073
FBXO6	9606.ENSP00000365944	1.0638297872340425	8.8935
CLINT1	9606.ENSP00000429824	1.0649627263045793	11.7664
CNOT6	9606.ENSP00000377024	1.0649627263045793	5.53352
ETF1	9606.ENSP00000353741	1.0649627263045793	25.5623
TNKS1BP1	9606.ENSP00000437271	1.0649627263045793	9.48854
FBXO4	9606.ENSP00000281623	1.0649627263045793	2.60751
SYK	9606.ENSP00000364907	1.0649627263045793	3.28043
FNBP1	9606.ENSP00000413625	1.0649627263045793	38.5907
RAB33B	9606.ENSP00000306496	1.0660980810234542	4.30539
SCARB2	9606.ENSP00000264896	1.0660980810234542	45.8469
VAMP2	9606.ENSP00000314214	1.0660980810234542	144.001
SNRPD2	9606.ENSP00000342374	1.0660980810234542	68.8402
DTX1	9606.ENSP00000257600	1.0660980810234542	11.3482
TCP1	9606.ENSP00000317334	1.0660980810234542	62.2958
FBXW8	9606.ENSP00000310686	1.0660980810234542	2.46879
RPS5	9606.ENSP00000472985	1.0660980810234542	173.422
RPS28	9606.ENSP00000472469	1.0660980810234542	326.497
RPL23A	9606.ENSP00000389103	1.0660980810234542	150.725
RPL10A	9606.ENSP00000363018	1.0660980810234542	250.18
OSBPL1A	9606.ENSP00000320291	1.0660980810234542	34.6951
LYN	9606.ENSP00000428924	1.0672358591248665	2.59535
HNRNPF	9606.ENSP00000400433	1.0672358591248665	31.2306
MAPK12	9606.ENSP00000215659	1.0672358591248665	5.60901
CYC1	9606.ENSP00000317159	1.0672358591248665	93.2529
COQ4	9606.ENSP00000300452	1.0672358591248665	14.3318
COQ9	9606.ENSP00000262507	1.0672358591248665	30.156
CSNK2A1	9606.ENSP00000217244	1.0672358591248665	16.6628
CAMK2B	9606.ENSP00000379098	1.0672358591248665	19.484
FBXW9	9606.ENSP00000376945	1.0672358591248665	3.26522
RPS24	9606.ENSP00000414321	1.0672358591248665	186.597
RPS11	9606.ENSP00000270625	1.0672358591248665	945.552
CCNF	9606.ENSP00000380256	1.0672358591248665	1.1178
MAGOH	9606.ENSP00000360525	1.0672358591248665	11.7433
HERC5	9606.ENSP00000264350	1.0683760683760684	3.13418
UBE2B	9606.ENSP00000265339	1.0683760683760684	27.6123
SOD1	9606.ENSP00000270142	1.0683760683760684	247.236
RPS10	9606.ENSP00000481646	1.0683760683760684	265.487
RAB5A	9606.ENSP00000273047	1.0683760683760684	41.8146
SNRPE	9606.ENSP00000400591	1.0683760683760684	21.7211
SMG6	9606.ENSP00000263073	1.0683760683760684	4.52701
RPLP1	9606.ENSP00000346037	1.0683760683760684	697.465
GPNMB	9606.ENSP00000371420	1.0683760683760684	4.93355
MAGOHB	9606.ENSP00000319240	1.0683760683760684	2.69435
RPL26	9606.ENSP00000463784	1.0695187165775402	259.98
FBXW4	9606.ENSP00000359149	1.0695187165775402	54.352
RPS18	9606.ENSP00000393241	1.0695187165775402	964.305
S100B	9606.ENSP00000291700	1.0695187165775402	1241.98
PLCB2	9606.ENSP00000260402	1.0695187165775402	8.61736
TRIP10	9606.ENSP00000320117	1.0695187165775402	8.81485
